Id;Marker;Active;X;Y;Z
0;1;1;-1.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
1;0;1;-6.4926779586383077e-01;0.0000000000000000e+00;0.0000000000000000e+00
2;0;1;-6.4311594202898559e-01;0.0000000000000000e+00;0.0000000000000000e+00
3;0;1;-5.9525602409638556e-01;0.0000000000000000e+00;0.0000000000000000e+00
4;0;1;-5.0000000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
5;0;1;-4.4606854838709675e-01;0.0000000000000000e+00;0.0000000000000000e+00
6;0;1;-3.3811475409836067e-01;0.0000000000000000e+00;0.0000000000000000e+00
7;0;1;-3.0982905982905984e-01;0.0000000000000000e+00;0.0000000000000000e+00
8;0;1;-2.5609756097560976e-01;0.0000000000000000e+00;0.0000000000000000e+00
9;0;1;0.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
10;1;1;-5.0000000000000000e-01;-1.0000000000000000e+00;0.0000000000000000e+00
11;0;1;-5.0000000000000000e-01;-7.4199813348892230e-01;0.0000000000000000e+00
12;0;1;-5.0000000000000000e-01;-7.2166349472547942e-01;0.0000000000000000e+00
13;0;1;-5.0000000000000000e-01;-6.4293928814277557e-01;0.0000000000000000e+00
14;0;1;-5.0000000000000000e-01;-6.2981030549009909e-01;0.0000000000000000e+00
15;0;1;-5.0000000000000000e-01;-5.4179216867469882e-01;0.0000000000000000e+00
16;0;1;-5.0000000000000000e-01;-4.7449422746237435e-01;0.0000000000000000e+00
17;0;1;-5.0000000000000000e-01;-4.5522388059701491e-01;0.0000000000000000e+00
18;0;1;-5.0000000000000000e-01;-2.8705871644741188e-01;0.0000000000000000e+00
19;0;1;-5.0000000000000000e-01;-2.7800913135468208e-01;0.0000000000000000e+00
20;0;1;-5.0000000000000000e-01;-2.5224300768725771e-01;0.0000000000000000e+00
21;0;1;-5.0000000000000000e-01;-1.2464416429442859e-01;0.0000000000000000e+00
22;0;1;-5.0000000000000000e-01;-2.0143072289156572e-02;0.0000000000000000e+00
23;0;1;-5.0000000000000000e-01;2.5504032258064524e-01;0.0000000000000000e+00
24;0;1;-5.0000000000000000e-01;2.8981753779937791e-01;0.0000000000000000e+00
25;0;1;-5.0000000000000000e-01;3.2100341794757492e-01;0.0000000000000000e+00
26;0;1;-5.0000000000000000e-01;3.2729108146067420e-01;0.0000000000000000e+00
27;0;1;-5.0000000000000000e-01;3.7222831115881094e-01;0.0000000000000000e+00
28;0;1;-5.0000000000000000e-01;6.2883320108110574e-01;0.0000000000000000e+00
29;0;1;-5.0000000000000000e-01;6.8255268813466108e-01;0.0000000000000000e+00
30;0;1;-5.0000000000000000e-01;6.9746638641160463e-01;0.0000000000000000e+00
31;0;1;-5.0000000000000000e-01;8.6516892961770031e-01;0.0000000000000000e+00
32;1;1;-5.0000000000000000e-01;1.0000000000000000e+00;0.0000000000000000e+00
33;1;1;-5.0000000000000000e-01;1.3949434143121490e-17;-1.0000000000000002e+00
34;0;1;-5.0000000000000000e-01;2.7402581347548971e-17;-6.6090956259073441e-01
35;0;1;-5.0000000000000000e-01;2.8439358509493355e-17;-6.3477729658654181e-01
36;0;1;-5.0000000000000011e-01;2.9237508939570967e-17;-6.1465968586387454e-01
37;0;1;-5.0000000000000011e-01;3.0586025541550548e-17;-5.8066993777961784e-01
38;0;1;-5.0000000000000022e-01;3.8909568757271280e-17;-3.7087264150943400e-01
39;0;1;-5.0000000000000022e-01;4.0787874272917923e-17;-3.2352941176470584e-01
40;0;1;-5.0000000000000022e-01;4.1515156078805342e-17;-3.0519806505967573e-01
41;0;1;-5.0000000000000022e-01;4.2922608826673855e-17;-2.6972281449893409e-01
42;0;1;-5.0000000000000022e-01;5.2349391318566176e-17;-3.2118055555555691e-02
43;0;1;-5.0000000000000022e-01;6.3542203948180105e-17;2.5000000000000000e-01
44;0;1;-5.0000000000000033e-01;6.4271658543907110e-17;2.6838611249670019e-01
45;0;1;-5.0000000000000044e-01;7.0361043323296516e-17;4.2187080399824906e-01
46;0;1;-5.0000000000000044e-01;7.7428179493596525e-17;6.0000000000000009e-01
47;0;1;-5.0000000000000044e-01;7.8695089200483148e-17;6.3193282286577901e-01
48;0;1;-5.0000000000000044e-01;8.2284819900552963e-17;7.2241301569883931e-01
49;1;1;-5.0000000000000056e-01;9.3297865831215276e-17;1.0000000000000000e+00
50;1;1;-1.0000000000000000e+00;-1.0000000000000000e+00;0.0000000000000000e+00
51;1;1;5.0000000000000000e-01;-1.0000000000000000e+00;0.0000000000000000e+00
