Id;Marker;Active;Origin;End
0;0;1;0;1
1;0;1;1;2
2;0;1;2;3
3;0;1;3;4
4;0;1;4;5
5;0;1;5;6
6;0;1;6;7
7;0;1;7;8
8;0;1;8;9
9;0;1;10;11
10;0;1;11;12
11;0;1;12;13
12;0;1;13;14
13;0;1;14;15
14;0;1;15;16
15;0;1;16;17
16;0;1;17;18
17;0;1;18;19
18;0;1;19;20
19;0;1;20;21
20;0;1;21;22
21;0;1;22;4
22;0;1;4;23
23;0;1;23;24
24;0;1;24;25
25;0;1;25;26
26;0;1;26;27
27;0;1;27;28
28;0;1;28;29
29;0;1;29;30
30;0;1;30;31
31;0;1;31;32
32;0;1;33;34
33;0;1;34;35
34;0;1;35;36
35;0;1;36;37
36;0;1;37;38
37;0;1;38;39
38;0;1;39;40
39;0;1;40;41
40;0;1;41;42
41;0;1;42;4
42;0;1;4;43
43;0;1;43;44
44;0;1;44;45
45;0;1;45;46
46;0;1;46;47
47;0;1;47;48
48;0;1;48;49
49;0;1;69;68
50;0;1;63;59
51;0;1;59;60
52;0;1;60;63
53;0;1;61;69
54;0;1;58;62
55;0;1;62;55
56;0;1;55;58
57;1;1;55;51
58;0;1;51;58
59;0;1;58;59
60;0;1;59;62
61;0;1;57;59
62;0;1;59;61
63;0;1;75;10
64;1;1;10;64
65;0;1;64;75
66;0;1;57;62
67;1;1;51;56
68;0;1;56;58
69;0;1;61;63
70;0;1;63;54
71;0;1;54;61
72;0;1;56;59
73;0;1;79;82
74;1;1;56;60
75;0;1;0;70
76;0;1;87;0
77;0;1;76;72
78;1;1;64;55
79;0;1;62;64
80;1;1;60;54
81;0;1;66;78
82;0;1;78;77
83;1;1;77;66
84;0;1;62;75
85;0;1;65;83
86;0;1;83;84
87;0;1;84;65
88;0;1;78;69
89;0;1;69;84
90;0;1;84;78
91;1;1;54;67
92;0;1;67;61
93;0;1;86;87
94;0;1;87;80
95;1;1;80;86
96;0;1;61;84
97;0;1;74;10
98;0;1;70;76
99;0;1;71;72
100;0;1;76;71
101;1;1;74;50
102;1;1;50;10
103;1;1;0;73
104;0;1;73;76
105;0;1;76;0
106;1;1;71;74
107;0;1;74;72
108;1;1;73;71
109;1;1;52;77
110;0;1;77;83
111;0;1;83;52
112;0;1;78;68
113;0;1;83;78
114;1;1;79;53
115;1;1;53;81
116;0;1;81;79
117;0;1;85;78
118;0;1;66;85
119;0;1;80;82
120;0;1;82;81
121;1;1;81;80
122;0;1;85;68
123;1;1;65;52
124;0;1;67;84
125;1;1;67;65
126;0;1;82;87
127;1;1;86;0
128;0;1;1;87
129;0;1;70;1
130;0;1;70;3
131;0;1;5;69
132;0;1;8;69
133;0;1;57;8
134;0;1;9;61
135;0;1;57;9
136;0;1;11;74
137;0;1;75;11
138;0;1;14;72
139;0;1;75;14
140;0;1;15;72
141;0;1;62;15
142;0;1;17;72
143;0;1;57;17
144;0;1;19;76
145;0;1;57;19
146;0;1;21;70
147;0;1;57;21
148;0;1;22;70
149;0;1;5;22
150;0;1;23;3
151;0;1;68;23
152;0;1;24;87
153;0;1;68;24
154;0;1;26;82
155;0;1;68;26
156;0;1;29;82
157;0;1;85;29
158;0;1;31;79
159;0;1;85;31
160;1;1;32;79
161;1;1;66;32
162;0;1;97;9
163;1;1;9;93
164;0;1;92;43
165;0;1;43;94
166;0;1;94;92
167;0;1;98;95
168;0;1;0;43
169;1;1;92;0
170;1;1;90;49
171;0;1;49;93
172;1;1;93;90
173;1;1;33;89
174;1;1;89;99
175;0;1;99;33
176;0;1;94;91
177;1;1;91;92
178;0;1;43;93
179;0;1;49;94
180;1;1;49;91
181;0;1;100;88
182;1;1;88;33
183;0;1;33;100
184;0;1;0;98
185;0;1;97;99
186;1;1;99;9
187;0;1;97;96
188;0;1;96;99
189;1;1;0;95
190;0;1;100;95
191;1;1;95;88
192;0;1;2;43
193;0;1;98;2
194;0;1;6;43
195;0;1;97;6
196;0;1;7;93
197;0;1;97;7
198;0;1;36;100
199;0;1;99;36
200;0;1;38;100
201;0;1;96;38
202;0;1;39;95
203;0;1;96;39
204;0;1;41;98
205;0;1;96;41
206;0;1;42;98
207;0;1;97;42
208;0;1;46;94
209;0;1;93;46
210;0;1;149;133
211;0;1;133;134
212;0;1;134;149
213;0;1;115;4
214;0;1;4;119
215;0;1;10;131
216;0;1;142;10
217;0;1;131;139
218;0;1;139;129
219;0;1;129;131
220;1;1;33;116
221;0;1;116;140
222;0;1;140;33
223;1;1;110;102
224;0;1;102;109
225;0;1;109;110
226;0;1;113;106
227;0;1;106;115
228;0;1;115;113
229;0;1;161;162
230;0;1;162;158
231;0;1;158;161
232;0;1;157;32
233;0;1;32;151
234;0;1;109;111
235;1;1;111;105
236;0;1;105;109
237;0;1;105;112
238;0;1;112;109
239;0;1;107;157
240;0;1;157;112
241;0;1;112;107
242;0;1;110;114
243;0;1;114;108
244;1;1;108;110
245;0;1;112;113
246;0;1;113;114
247;0;1;114;112
248;1;1;105;107
249;0;1;109;114
250;1;1;102;111
251;0;1;112;106
252;0;1;106;156
253;0;1;156;115
254;0;1;114;116
255;1;1;116;108
256;0;1;113;140
257;0;1;140;114
258;0;1;117;119
259;0;1;119;129
260;0;1;129;117
261;0;1;128;126
262;0;1;126;127
263;0;1;127;128
264;1;1;123;33
265;0;1;33;118
266;0;1;118;123
267;0;1;119;118
268;0;1;124;123
269;0;1;123;121
270;0;1;121;124
271;0;1;121;119
272;0;1;117;121
273;0;1;120;130
274;0;1;130;134
275;0;1;134;120
276;0;1;120;142
277;1;1;126;122
278;0;1;122;124
279;0;1;124;126
280;0;1;121;118
281;0;1;124;117
282;0;1;117;127
283;0;1;127;124
284;1;1;122;123
285;0;1;139;117
286;0;1;139;132
287;1;1;132;125
288;0;1;125;139
289;1;1;128;101
290;1;1;101;126
291;0;1;4;130
292;0;1;127;125
293;1;1;125;128
294;0;1;150;147
295;0;1;147;148
296;0;1;148;150
297;0;1;120;137
298;0;1;137;142
299;0;1;127;139
300;0;1;130;149
301;0;1;148;153
302;1;1;10;132
303;0;1;132;131
304;0;1;137;146
305;0;1;146;136
306;0;1;136;137
307;0;1;4;149
308;0;1;141;145
309;1;1;145;104
310;1;1;104;141
311;0;1;134;137
312;1;1;143;135
313;0;1;135;144
314;0;1;144;143
315;0;1;133;137
316;0;1;144;137
317;0;1;133;144
318;1;1;136;138
319;0;1;138;142
320;0;1;142;136
321;0;1;135;146
322;0;1;146;144
323;1;1;138;10
324;0;1;133;154
325;0;1;154;144
326;0;1;154;143
327;1;1;135;145
328;0;1;145;146
329;0;1;141;146
330;1;1;141;136
331;0;1;160;161
332;0;1;161;152
333;0;1;152;160
334;0;1;154;49
335;1;1;49;143
336;0;1;148;4
337;0;1;4;150
338;0;1;160;153
339;0;1;148;160
340;0;1;156;4
341;0;1;106;157
342;0;1;150;151
343;0;1;151;147
344;0;1;147;160
345;0;1;161;163
346;0;1;163;164
347;0;1;164;161
348;1;1;155;49
349;0;1;49;153
350;0;1;153;155
351;0;1;160;155
352;1;1;107;32
353;0;1;162;151
354;0;1;151;159
355;0;1;159;162
356;0;1;147;161
357;1;1;32;159
358;1;1;152;155
359;0;1;147;162
360;1;1;164;152
361;1;1;159;158
362;1;1;158;163
363;1;1;163;103
364;1;1;103;164
365;0;1;12;142
366;0;1;131;12
367;0;1;13;120
368;0;1;131;13
369;0;1;16;120
370;0;1;129;16
371;0;1;18;130
372;0;1;129;18
373;0;1;20;130
374;0;1;119;20
375;0;1;25;150
376;0;1;156;25
377;0;1;27;150
378;0;1;106;27
379;0;1;28;151
380;0;1;106;28
381;0;1;30;151
382;0;1;157;30
383;0;1;34;118
384;0;1;140;34
385;0;1;35;118
386;0;1;113;35
387;0;1;37;118
388;0;1;115;37
389;0;1;40;119
390;0;1;115;40
391;0;1;44;149
392;0;1;148;44
393;0;1;45;133
394;0;1;148;45
395;0;1;47;133
396;0;1;153;47
397;0;1;48;154
398;0;1;153;48
